ID,Sexo,Idade,CartaodeCredito,ChequeEspecial,Renda,LimiteCartaodeCredito,LimiteChequeEspecial,Devedor,SaldoDevedor
52,0,29,1,0,"2899,90","4349,85","0,00","0,00","0,00"
53,1,31,1,1,"3133,30","4699,95","3133,30","0,00","0,00"
54,0,26,0,0,"2597,92","0,00","0,00","1,00","0,00"
55,0,34,0,0,"3447,79","0,00","0,00","1,00","0,00"
56,0,32,0,0,"2820,82","0,00","0,00","0,00","0,00"
57,0,26,1,0,"2754,05","4131,07","0,00","0,00","0,00"
58,1,30,0,1,"3414,21","0,00","3414,21","1,00","10170,20"
59,1,32,1,1,"2931,61","4397,41","2931,61","1,00","28312,75"
60,0,32,0,0,"3297,88","0,00","0,00","1,00","0,00"
61,0,35,0,0,"3405,18","0,00","0,00","0,00","0,00"
62,0,27,0,0,"2683,59","0,00","0,00","1,00","0,00"
63,0,34,0,1,"3731,74","0,00","3731,74","0,00","0,00"
64,0,34,0,0,"3494,44","0,00","0,00","1,00","0,00"
65,1,29,0,1,"3460,23","0,00","3460,23","0,00","0,00"
66,0,26,0,0,"2513,60","0,00","0,00","1,00","0,00"
67,1,25,0,1,"2870,49","0,00","2870,49","0,00","0,00"
68,1,31,0,0,"2958,75","0,00","0,00","0,00","0,00"
69,1,29,0,1,"2832,92","0,00","2832,92","0,00","0,00"
70,0,37,0,0,"3578,97","0,00","0,00","0,00","0,00"
71,1,32,1,1,"3292,13","4938,19","3292,13","0,00","0,00"
72,0,28,1,0,"2930,63","4395,94","0,00","0,00","0,00"
73,1,25,1,1,"2536,29","3804,44","2536,29","1,00","20515,35"
74,0,27,1,0,"2861,82","4292,73","0,00","0,00","0,00"
75,0,31,1,0,"2857,60","4286,40","0,00","1,00","16249,96"
76,0,28,1,0,"2733,11","4099,67","0,00","0,00","0,00"
77,0,32,0,1,"3408,68","0,00","3408,68","1,00","11108,34"
78,0,28,0,1,"3090,66","0,00","3090,66","0,00","0,00"
79,0,29,1,0,"2998,12","4497,18","0,00","0,00","0,00"
80,0,27,1,0,"2891,54","4337,30","0,00","0,00","0,00"
81,0,37,1,1,"4010,82","6016,23","4010,82","1,00","31821,96"
82,0,31,1,1,"3288,89","4933,33","3288,89","0,00","0,00"
83,0,30,0,0,"2932,88","0,00","0,00","1,00","0,00"
84,1,23,0,1,"2262,20","0,00","2262,20","0,00","0,00"
85,0,32,0,0,"3399,04","0,00","0,00","0,00","0,00"
86,0,25,1,0,"2386,15","3579,23","0,00","0,00","0,00"
87,1,26,1,0,"2565,68","3848,53","0,00","0,00","0,00"
88,1,33,0,1,"3269,70","0,00","3269,70","1,00","12184,23"
89,1,28,1,1,"2355,69","3533,54","2355,69","0,00","0,00"
90,0,23,0,1,"2376,86","0,00","2376,86","0,00","0,00"
91,0,37,0,0,"3910,90","0,00","0,00","1,00","0,00"
92,0,20,0,0,"1987,78","0,00","0,00","0,00","0,00"
93,0,32,0,1,"3774,10","0,00","3774,10","1,00","12031,65"
94,0,34,0,0,"3340,23","0,00","0,00","0,00","0,00"
95,0,27,0,1,"2856,28","0,00","2856,28","0,00","0,00"
96,0,31,1,0,"3265,11","4897,66","0,00","1,00","18611,30"
97,1,31,1,1,"3343,25","5014,88","3343,25","0,00","0,00"
98,0,34,0,0,"3542,02","0,00","0,00","0,00","0,00"
99,0,31,1,0,"3040,70","4561,05","0,00","0,00","0,00"
100,0,29,1,0,"3063,37","4595,06","0,00","0,00","0,00"
101,0,33,1,0,"3383,66","5075,49","0,00","1,00","12132,00"
102,0,33,0,0,"3380,36","0,00","0,00","0,00","0,00"
103,0,26,1,0,"2787,09","4180,64","0,00","1,00","12718,98"
104,1,24,1,1,"2585,46","3878,18","2585,46","1,00","20979,59"
105,0,30,0,1,"2997,44","0,00","2997,44","0,00","0,00"
106,1,28,0,1,"2691,06","0,00","2691,06","1,00","7439,24"
107,1,26,1,0,"2945,34","4418,01","0,00","0,00","0,00"
108,0,30,0,1,"3015,90","0,00","3015,90","0,00","0,00"
109,0,24,0,0,"2309,70","0,00","0,00","1,00","0,00"
110,0,30,1,1,"2716,13","4074,19","2716,13","1,00","25995,47"
111,1,27,0,1,"2772,90","0,00","2772,90","0,00","0,00"
112,0,33,0,1,"3427,76","0,00","3427,76","0,00","0,00"
113,0,39,0,0,"3456,16","0,00","0,00","0,00","0,00"
114,1,26,0,0,"2249,43","0,00","0,00","0,00","0,00"
115,1,34,0,1,"3462,63","0,00","3462,63","0,00","0,00"
116,0,33,0,0,"3029,76","0,00","0,00","0,00","0,00"
117,0,29,0,0,"3291,10","0,00","0,00","1,00","0,00"
118,1,28,1,0,"2489,98","3734,98","0,00","0,00","0,00"
119,0,36,0,0,"3042,39","0,00","0,00","0,00","0,00"
120,0,21,0,0,"2085,33","0,00","0,00","0,00","0,00"
121,0,27,0,0,"2826,36","0,00","0,00","0,00","0,00"
122,0,24,1,0,"2437,65","3656,48","0,00","1,00","12396,46"
123,0,35,1,0,"3457,70","5186,55","0,00","0,00","0,00"
124,0,29,0,0,"3009,85","0,00","0,00","1,00","0,00"
125,0,27,1,0,"2492,54","3738,80","0,00","0,00","0,00"
126,1,42,0,0,"4295,34","0,00","0,00","0,00","0,00"
127,0,29,0,0,"2658,23","0,00","0,00","0,00","0,00"
128,0,28,0,0,"2574,77","0,00","0,00","1,00","0,00"
129,0,31,0,0,"3133,08","0,00","0,00","0,00","0,00"
130,0,23,0,0,"2394,64","0,00","0,00","0,00","0,00"
131,0,31,0,0,"2830,57","0,00","0,00","0,00","0,00"
132,1,29,0,1,"2450,22","0,00","2450,22","0,00","0,00"
133,0,31,0,0,"2781,83","0,00","0,00","0,00","0,00"
134,1,26,1,1,"2079,95","3119,92","2079,95","0,00","0,00"
135,0,25,0,0,"2532,25","0,00","0,00","1,00","0,00"
136,0,27,0,0,"2857,89","0,00","0,00","0,00","0,00"
137,1,26,1,0,"3068,50","4602,75","0,00","0,00","0,00"
138,1,35,1,1,"3186,85","4780,27","3186,85","0,00","0,00"
139,1,36,1,1,"3429,89","5144,83","3429,89","1,00","14736,94"
140,0,29,0,0,"2868,53","0,00","0,00","0,00","0,00"
141,0,28,0,0,"2866,52","0,00","0,00","0,00","0,00"
142,0,28,0,0,"2576,46","0,00","0,00","0,00","0,00"
143,0,30,1,0,"3278,80","4918,20","0,00","0,00","0,00"
144,0,30,0,0,"2886,09","0,00","0,00","0,00","0,00"
145,1,31,1,1,"3405,40","5108,10","3405,40","0,00","0,00"
146,0,27,1,0,"2260,11","3390,17","0,00","0,00","0,00"
147,0,26,0,0,"2557,82","0,00","0,00","0,00","0,00"
148,0,34,0,0,"3517,56","0,00","0,00","0,00","0,00"
149,0,27,0,0,"2567,11","0,00","0,00","0,00","0,00"
150,1,31,0,0,"2951,61","0,00","0,00","0,00","0,00"
151,1,29,1,1,"2715,06","4072,59","2715,06","1,00","10687,48"
152,0,26,0,0,"2626,89","0,00","0,00","1,00","0,00"
153,0,32,0,0,"3603,94","0,00","0,00","0,00","0,00"
154,0,30,0,0,"2692,71","0,00","0,00","0,00","0,00"
155,0,35,0,0,"3465,35","0,00","0,00","0,00","0,00"
156,0,30,0,0,"2855,23","0,00","0,00","0,00","0,00"
157,0,28,1,0,"3195,70","4793,55","0,00","0,00","0,00"
158,0,31,0,0,"3697,60","0,00","0,00","0,00","0,00"
159,0,25,0,0,"2625,18","0,00","0,00","0,00","0,00"
160,0,26,1,0,"2617,24","3925,86","0,00","0,00","0,00"
161,0,32,1,0,"3637,20","5455,80","0,00","0,00","0,00"
162,0,28,0,0,"2670,75","0,00","0,00","0,00","0,00"
163,0,29,1,0,"2883,52","4325,28","0,00","0,00","0,00"
164,0,29,0,0,"3204,57","0,00","0,00","0,00","0,00"
165,0,27,0,0,"2728,54","0,00","0,00","0,00","0,00"
166,0,21,0,0,"2000,16","0,00","0,00","0,00","0,00"
167,1,31,1,1,"3157,35","4736,02","3157,35","1,00","25906,11"
168,0,33,0,0,"3152,28","0,00","0,00","0,00","0,00"
169,0,24,0,1,"2848,78","0,00","2848,78","0,00","0,00"
170,0,35,0,0,"3365,87","0,00","0,00","0,00","0,00"
171,0,31,0,1,"3391,64","0,00","3391,64","0,00","0,00"
172,0,35,0,0,"3500,40","0,00","0,00","0,00","0,00"
173,1,26,1,1,"2945,89","4418,84","2945,89","0,00","0,00"
174,1,30,0,1,"3279,22","0,00","3279,22","0,00","0,00"
175,0,29,0,0,"2711,86","0,00","0,00","0,00","0,00"
176,0,33,0,1,"3393,08","0,00","3393,08","1,00","12064,61"
177,0,27,0,1,"2660,63","0,00","2660,63","0,00","0,00"
178,0,29,1,0,"3045,81","4568,71","0,00","0,00","0,00"
179,1,22,0,1,"2189,80","0,00","2189,80","1,00","7584,27"
180,0,26,1,0,"2722,29","4083,43","0,00","0,00","0,00"
181,1,30,0,0,"2964,91","0,00","0,00","0,00","0,00"
182,0,27,1,0,"2958,02","4437,04","0,00","1,00","15509,02"
183,1,29,0,1,"2990,82","0,00","2990,82","0,00","0,00"
184,0,28,0,0,"2431,56","0,00","0,00","0,00","0,00"
185,0,32,0,0,"3193,37","0,00","0,00","1,00","0,00"
186,0,34,0,0,"3285,53","0,00","0,00","1,00","0,00"
187,0,26,0,0,"2890,27","0,00","0,00","0,00","0,00"
188,0,28,0,0,"2477,53","0,00","0,00","0,00","0,00"
189,1,35,0,1,"2784,25","0,00","2784,25","1,00","8312,56"
190,1,21,1,1,"2198,21","3297,32","2198,21","0,00","0,00"
191,0,28,0,1,"3063,75","0,00","3063,75","0,00","0,00"
192,0,38,0,0,"3972,11","0,00","0,00","0,00","0,00"
193,1,38,1,1,"4314,06","6471,09","4314,06","1,00","31690,02"
194,0,30,1,1,"3270,59","4905,88","3270,59","0,00","0,00"
195,1,26,1,1,"2358,12","3537,18","2358,12","0,00","0,00"
196,0,30,0,0,"3279,16","0,00","0,00","1,00","0,00"
197,0,27,1,0,"2541,03","3811,55","0,00","0,00","0,00"
198,0,35,0,0,"3886,78","0,00","0,00","0,00","0,00"
199,0,26,0,1,"2858,15","0,00","2858,15","0,00","0,00"
200,0,31,0,0,"3084,57","0,00","0,00","0,00","0,00"
201,0,32,0,0,"3541,74","0,00","0,00","0,00","0,00"
202,1,26,1,1,"2530,35","3795,52","2530,35","0,00","0,00"
203,0,33,0,0,"3633,63","0,00","0,00","0,00","0,00"
204,0,27,1,0,"2077,26","3115,89","0,00","1,00","6979,44"
205,0,32,0,0,"2863,55","0,00","0,00","0,00","0,00"
206,1,34,0,1,"3450,17","0,00","3450,17","0,00","0,00"
207,0,26,0,0,"2467,23","0,00","0,00","0,00","0,00"
208,0,34,1,0,"2492,89","3739,34","0,00","1,00","8894,52"
209,0,28,0,0,"2566,14","0,00","0,00","1,00","0,00"
210,0,31,1,0,"3600,33","5400,49","0,00","0,00","0,00"
211,0,30,1,0,"2637,37","3956,05","0,00","0,00","0,00"
212,0,28,0,0,"2846,74","0,00","0,00","0,00","0,00"
213,0,31,1,0,"2946,89","4420,34","0,00","1,00","12415,49"
214,0,25,1,1,"2504,58","3756,87","2504,58","0,00","0,00"
215,0,29,1,0,"2848,56","4272,85","0,00","0,00","0,00"
216,1,33,1,1,"3255,15","4882,72","3255,15","1,00","26329,21"
217,0,21,1,1,"2074,27","3111,41","2074,27","0,00","0,00"
218,0,24,1,0,"1877,52","2816,28","0,00","0,00","0,00"
219,1,25,0,1,"2500,14","0,00","2500,14","0,00","0,00"
220,1,23,0,1,"2329,52","0,00","2329,52","0,00","0,00"
221,0,31,0,0,"3227,82","0,00","0,00","0,00","0,00"
222,1,26,0,1,"2955,48","0,00","2955,48","1,00","8108,30"
223,1,21,1,0,"2107,72","3161,58","0,00","0,00","0,00"
224,0,27,0,1,"2773,11","0,00","2773,11","0,00","0,00"
225,0,28,0,0,"2400,26","0,00","0,00","0,00","0,00"
226,0,33,0,0,"3332,86","0,00","0,00","0,00","0,00"
227,0,25,1,1,"2111,14","3166,71","2111,14","0,00","0,00"
228,0,34,0,0,"4079,49","0,00","0,00","1,00","0,00"
229,0,31,0,1,"2989,32","0,00","2989,32","1,00","13981,46"
230,1,31,0,1,"3209,17","0,00","3209,17","0,00","0,00"
231,0,26,0,0,"2714,75","0,00","0,00","1,00","0,00"
232,0,37,1,1,"3216,23","4824,34","3216,23","0,00","0,00"
233,0,29,0,1,"3035,40","0,00","3035,40","0,00","0,00"
234,0,22,0,0,"1963,96","0,00","0,00","0,00","0,00"
235,0,29,0,0,"3032,97","0,00","0,00","0,00","0,00"
236,0,22,0,0,"2063,86","0,00","0,00","0,00","0,00"
237,0,28,0,0,"2609,62","0,00","0,00","0,00","0,00"
238,1,28,1,1,"2915,98","4373,97","2915,98","0,00","0,00"
239,0,32,1,0,"3317,26","4975,89","0,00","0,00","0,00"
240,1,34,1,1,"3315,37","4973,06","3315,37","0,00","0,00"
241,0,27,0,0,"2501,19","0,00","0,00","0,00","0,00"
242,0,33,0,0,"3364,02","0,00","0,00","0,00","0,00"
243,0,35,0,1,"3482,94","0,00","3482,94","0,00","0,00"
244,0,26,0,0,"2849,47","0,00","0,00","0,00","0,00"
245,0,27,0,1,"2529,34","0,00","2529,34","0,00","0,00"
246,1,32,0,1,"3160,62","0,00","3160,62","1,00","11330,08"
247,0,30,1,0,"3681,23","5521,85","0,00","0,00","0,00"
248,1,32,0,1,"2789,15","0,00","2789,15","0,00","0,00"
249,1,35,1,1,"3611,04","5416,56","3611,04","1,00","22698,43"
250,1,31,0,1,"3227,30","0,00","3227,30","1,00","8755,96"
251,0,34,1,1,"3247,38","4871,07","3247,38","0,00","0,00"
252,0,32,0,0,"2972,90","0,00","0,00","0,00","0,00"
253,0,31,1,0,"2648,27","3972,40","0,00","0,00","0,00"
254,0,31,1,0,"2660,55","3990,82","0,00","0,00","0,00"
255,0,35,0,0,"3407,59","0,00","0,00","0,00","0,00"
256,1,25,0,1,"2813,20","0,00","2813,20","0,00","0,00"
257,0,25,1,0,"2513,43","3770,14","0,00","0,00","0,00"
258,0,32,1,0,"3694,63","5541,95","0,00","0,00","0,00"
259,0,29,0,0,"2725,35","0,00","0,00","0,00","0,00"
260,1,30,1,1,"3173,58","4760,37","3173,58","0,00","0,00"
261,1,32,1,1,"3239,81","4859,71","3239,81","0,00","0,00"
262,1,33,0,1,"3419,67","0,00","3419,67","0,00","0,00"
263,0,28,1,0,"2857,51","4286,27","0,00","0,00","0,00"
264,1,28,1,0,"3017,76","4526,65","0,00","0,00","0,00"
265,0,30,0,0,"2997,68","0,00","0,00","0,00","0,00"
266,0,34,0,0,"3729,29","0,00","0,00","0,00","0,00"
267,0,31,1,0,"3251,96","4877,94","0,00","0,00","0,00"
268,0,35,0,1,"3496,66","0,00","3496,66","0,00","0,00"
269,0,29,0,1,"2867,29","0,00","2867,29","1,00","10048,34"
270,0,34,0,0,"2965,93","0,00","0,00","0,00","0,00"
271,1,33,1,0,"3085,96","4628,94","0,00","0,00","0,00"
272,0,32,0,1,"3115,74","0,00","3115,74","0,00","0,00"
273,0,31,0,0,"3390,05","0,00","0,00","0,00","0,00"
274,0,28,0,0,"3021,57","0,00","0,00","0,00","0,00"
275,1,29,1,0,"2666,18","3999,27","0,00","1,00","12937,60"
276,1,30,1,1,"2857,10","4285,65","2857,10","0,00","0,00"
277,1,30,0,0,"3521,14","0,00","0,00","1,00","0,00"
278,0,33,0,0,"2833,87","0,00","0,00","0,00","0,00"
279,0,29,0,0,"2952,01","0,00","0,00","0,00","0,00"
280,0,29,0,0,"2980,52","0,00","0,00","0,00","0,00"
281,1,28,1,1,"2659,52","3989,28","2659,52","0,00","0,00"
282,0,29,0,0,"2501,98","0,00","0,00","1,00","0,00"
283,0,29,0,0,"2785,88","0,00","0,00","1,00","0,00"
284,0,20,0,0,"2537,70","0,00","0,00","0,00","0,00"
285,0,24,0,0,"2373,66","0,00","0,00","0,00","0,00"
286,0,29,1,0,"2835,29","4252,94","0,00","0,00","0,00"
287,0,28,1,1,"2850,22","4275,33","2850,22","0,00","0,00"
288,0,25,1,0,"2207,80","3311,69","0,00","1,00","9403,63"
289,0,22,1,0,"2365,26","3547,89","0,00","0,00","0,00"
290,0,28,0,0,"3001,43","0,00","0,00","0,00","0,00"
291,0,32,0,0,"3088,59","0,00","0,00","0,00","0,00"
292,0,37,0,0,"3721,95","0,00","0,00","1,00","0,00"
293,0,29,0,0,"2753,54","0,00","0,00","0,00","0,00"
294,1,35,0,1,"3741,46","0,00","3741,46","0,00","0,00"
295,1,30,0,1,"2502,37","0,00","2502,37","0,00","0,00"
296,1,30,0,1,"2933,32","0,00","2933,32","0,00","0,00"
297,1,31,1,1,"3293,26","4939,89","3293,26","1,00","26987,47"
298,0,26,0,0,"3038,71","0,00","0,00","0,00","0,00"
299,0,29,1,0,"2636,53","3954,80","0,00","0,00","0,00"
300,1,33,1,1,"2930,85","4396,28","2930,85","0,00","0,00"
301,1,27,1,1,"2670,78","4006,17","2670,78","0,00","0,00"
302,0,28,1,0,"2783,89","4175,84","0,00","0,00","0,00"
303,1,25,0,0,"2689,51","0,00","0,00","0,00","0,00"
304,1,31,1,0,"3064,54","4596,81","0,00","0,00","0,00"
305,0,31,0,0,"2922,05","0,00","0,00","0,00","0,00"
306,0,32,0,0,"3804,78","0,00","0,00","0,00","0,00"
307,0,25,1,0,"2417,71","3626,57","0,00","0,00","0,00"
308,0,30,1,0,"3264,26","4896,40","0,00","1,00","16518,27"
309,0,26,1,1,"2793,55","4190,32","2793,55","1,00","28508,30"
310,0,29,1,1,"2772,47","4158,71","2772,47","1,00","16194,57"
311,0,35,0,1,"4081,85","0,00","4081,85","0,00","0,00"
312,0,27,0,0,"2387,93","0,00","0,00","0,00","0,00"
313,1,32,1,1,"2899,92","4349,89","2899,92","1,00","20471,16"
314,0,27,1,0,"3015,12","4522,68","0,00","0,00","0,00"
315,0,28,0,0,"2363,91","0,00","0,00","0,00","0,00"
316,1,31,0,1,"3297,58","0,00","3297,58","0,00","0,00"
317,1,27,1,1,"2753,31","4129,97","2753,31","0,00","0,00"
318,0,23,0,1,"2470,08","0,00","2470,08","0,00","0,00"
319,0,35,0,1,"3773,50","0,00","3773,50","0,00","0,00"
320,1,31,0,1,"2893,68","0,00","2893,68","0,00","0,00"
321,1,27,1,1,"2515,21","3772,81","2515,21","0,00","0,00"
322,0,22,0,0,"2379,15","0,00","0,00","0,00","0,00"
323,0,37,0,0,"4028,70","0,00","0,00","0,00","0,00"
324,1,43,0,0,"3821,12","0,00","0,00","0,00","0,00"
325,0,30,0,1,"2630,43","0,00","2630,43","0,00","0,00"
326,0,33,1,1,"2945,36","4418,04","2945,36","1,00","27281,64"
327,1,34,0,1,"3394,98","0,00","3394,98","0,00","0,00"
328,0,27,0,0,"2694,31","0,00","0,00","0,00","0,00"
329,0,28,1,1,"3451,73","5177,59","3451,73","1,00","22200,35"
330,1,23,1,0,"2423,64","3635,46","0,00","1,00","10706,83"
331,0,27,1,0,"2659,25","3988,87","0,00","0,00","0,00"
332,0,32,0,0,"3031,06","0,00","0,00","0,00","0,00"
333,1,28,0,1,"2650,18","0,00","2650,18","1,00","6328,48"
334,1,29,0,1,"2720,24","0,00","2720,24","0,00","0,00"
335,0,29,1,0,"2582,70","3874,05","0,00","0,00","0,00"
336,0,22,0,0,"2238,45","0,00","0,00","1,00","0,00"
337,0,33,1,0,"2247,57","3371,35","0,00","0,00","0,00"
338,0,24,0,0,"2119,33","0,00","0,00","0,00","0,00"
339,0,29,1,0,"3187,55","4781,33","0,00","0,00","0,00"
340,1,28,1,1,"2841,78","4262,66","2841,78","0,00","0,00"
341,0,29,0,0,"3060,84","0,00","0,00","1,00","0,00"
342,0,35,1,0,"3293,61","4940,41","0,00","0,00","0,00"
343,0,27,1,0,"3080,58","4620,87","0,00","0,00","0,00"
344,0,26,1,0,"2522,66","3784,00","0,00","0,00","0,00"
345,0,23,1,0,"2435,09","3652,64","0,00","1,00","10232,77"
346,0,26,1,0,"2603,56","3905,33","0,00","0,00","0,00"
347,1,25,0,1,"2619,77","0,00","2619,77","0,00","0,00"
348,0,31,0,0,"2963,15","0,00","0,00","0,00","0,00"
349,0,26,1,0,"2923,44","4385,16","0,00","1,00","8638,16"
350,0,31,1,1,"2939,53","4409,30","2939,53","0,00","0,00"
351,0,29,1,1,"3729,38","5594,07","3729,38","0,00","0,00"
352,1,24,0,1,"2361,19","0,00","2361,19","0,00","0,00"
353,0,26,1,1,"2632,79","3949,19","2632,79","0,00","0,00"
354,0,33,0,1,"3095,35","0,00","3095,35","1,00","7962,06"
355,0,33,0,0,"3541,90","0,00","0,00","1,00","0,00"
356,1,38,1,1,"3871,77","5807,66","3871,77","0,00","0,00"
357,0,29,0,1,"3084,25","0,00","3084,25","0,00","0,00"
358,0,24,0,1,"2571,16","0,00","2571,16","0,00","0,00"
359,0,26,0,0,"2400,09","0,00","0,00","0,00","0,00"
360,1,31,1,1,"3356,02","5034,03","3356,02","0,00","0,00"
361,0,37,0,0,"3259,74","0,00","0,00","1,00","0,00"
362,0,30,0,1,"3046,01","0,00","3046,01","0,00","0,00"
363,1,34,0,1,"3710,29","0,00","3710,29","0,00","0,00"
364,0,33,0,1,"2774,82","0,00","2774,82","1,00","11746,27"
365,0,25,0,0,"2389,65","0,00","0,00","0,00","0,00"
366,1,29,0,1,"2783,14","0,00","2783,14","0,00","0,00"
367,0,35,0,0,"2778,19","0,00","0,00","0,00","0,00"
368,0,33,1,1,"3233,15","4849,73","3233,15","0,00","0,00"
369,0,31,1,0,"3536,35","5304,53","0,00","0,00","0,00"
370,0,31,0,0,"2663,71","0,00","0,00","1,00","0,00"
371,0,28,1,0,"2492,15","3738,23","0,00","0,00","0,00"
372,0,24,0,0,"2305,66","0,00","0,00","1,00","0,00"
373,1,35,1,1,"3479,19","5218,78","3479,19","0,00","0,00"
374,0,24,1,0,"2425,18","3637,77","0,00","1,00","12884,15"
375,0,26,0,0,"2649,14","0,00","0,00","0,00","0,00"
376,1,32,1,1,"3110,98","4666,46","3110,98","0,00","0,00"
377,1,24,0,1,"2966,21","0,00","2966,21","0,00","0,00"
378,0,27,1,0,"2579,14","3868,71","0,00","0,00","0,00"
379,0,25,1,0,"2166,16","3249,24","0,00","0,00","0,00"
380,1,32,0,1,"2699,27","0,00","2699,27","0,00","0,00"
381,0,31,1,0,"3038,16","4557,24","0,00","0,00","0,00"
382,1,31,1,1,"2932,70","4399,05","2932,70","0,00","0,00"
383,0,31,0,0,"3425,37","0,00","0,00","1,00","0,00"
384,1,32,1,1,"3140,10","4710,15","3140,10","0,00","0,00"
385,0,32,0,0,"3225,34","0,00","0,00","1,00","0,00"
386,1,22,0,0,"1844,12","0,00","0,00","0,00","0,00"
387,0,29,1,0,"2830,42","4245,63","0,00","1,00","18750,12"
388,0,30,0,0,"2918,43","0,00","0,00","1,00","0,00"
389,0,32,0,0,"2751,03","0,00","0,00","0,00","0,00"
390,0,25,1,1,"2271,76","3407,64","2271,76","1,00","18665,30"
391,1,28,1,0,"2555,51","3833,26","0,00","0,00","0,00"
392,0,25,0,1,"2706,80","0,00","2706,80","0,00","0,00"
393,1,34,0,1,"3589,73","0,00","3589,73","0,00","0,00"
394,1,35,0,1,"3743,05","0,00","3743,05","0,00","0,00"
395,0,33,0,0,"3763,92","0,00","0,00","1,00","0,00"
396,0,25,0,0,"2419,65","0,00","0,00","1,00","0,00"
397,0,31,0,0,"3466,75","0,00","0,00","0,00","0,00"
398,0,34,1,0,"3309,65","4964,48","0,00","0,00","0,00"
399,0,30,1,0,"3346,85","5020,28","0,00","0,00","0,00"
400,1,27,1,0,"2361,68","3542,52","0,00","0,00","0,00"
401,1,25,1,1,"2348,95","3523,42","2348,95","1,00","19464,62"
402,0,27,1,1,"2946,62","4419,93","2946,62","0,00","0,00"
403,1,32,1,1,"3730,39","5595,58","3730,39","0,00","0,00"
404,0,28,0,0,"2789,11","0,00","0,00","0,00","0,00"
405,0,30,1,1,"2900,61","4350,92","2900,61","0,00","0,00"
406,0,35,0,0,"3719,12","0,00","0,00","1,00","0,00"
407,1,32,1,1,"3161,39","4742,09","3161,39","0,00","0,00"
408,0,35,0,0,"3504,77","0,00","0,00","0,00","0,00"
